;Mistranslation 1;Mistranslation 10;Mistranslation 100;Addition/Omission 1;Addition/Omission 10;Addition/Omission 100;Untranslated/DNT 1;Untranslated/DNT 10;Untranslated/DNT 100;Grammar/Syntax 1;Grammar/Syntax 10;Grammar/Syntax 100;Register 1;Register 10;Register 100;Incostistency 1;ncostistency 10;ncostistency 100;Spelling 1;Spelling 10;Spelling 100;Terminology 1;Terminology 10;Terminology 100;Other  1;Other 10;Other 100;Sum
1;;2;;; ;;;;;1;2;1;;;;;;;1;;;;;;;; ;7
2;2;2;5;;;2;;;4;8;7;10;3;5;1;;;;2;;3;2;3;4;4;1;;68
3;;;;;;;;;;;;;5;;;;;;;1;;;;;;;;6
4;;5;6;;;;;;;;4;1;1;;;;2;;;1;;;7;3;;;;30
5;;1;1;;;;;;;1;1;;;1;;;;;;;;;2;;;;;7
6;;1;1;;;;;;;;1;;1;;;;;;;;;1;1;;;;;6
7;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;3
8;;1;;;;;;;;1;;;;;;1;;;;;;1;2;;;;;6
9;;3;1;;;;;;;;1;;1;;;;;;1;;;3;1;;;;;11
10;;2;1;;;;;;;;;;;;;;;;1;;;;1;;;;;5
11;;2;;;;;;;;1;1;;1;;;;;;2;;;;;;;;;7
12;;;1;;1;;;;1;;1;;;;;;;;2;;;;;;;;;6
13;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2
14;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;3
15;26;57;38;22;13;6;4;10;2;43;49;17;45;18;0;6;1;0;76;15;5;21;33;14;7;2;1;531
16;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2
17;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
18;1;;;;;;;;;2;;;;;;;;;;1;;1;;;;;;5
19;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;2
20;;;;;;;;;;2;1;;;;;1;;;4;;;;1;1;;;;10
21;1;1;;;;;1;;;1;;;1;1;;1;1;;7;;;11;2;;;;;28
22;24;29;8;6;5;0;1;5;1;40;39;6;45;18;0;5;0;0;47;1;1;11;11;9;5;1;0;318
23;;;;;;;2;;;1;;;;;;;1;;7;;;6;1;;;;;18
24;;;;;;;;;;;;;3;;;;;;1;;;2;1;;;;;7
25;;;;;;;;;;;;;;;;;;;;;;4;;;;;;4
26;2;;;;;;;;;;;;;1;;;;;1;;1;;;;;;;5
27;;4;14;;;1;;;;9;13;6;4;5;9;;;;5;3;;4;7;5;3;;;92
28;;1;1;;;;;;;;1;;;2;1;;;;;;;;;;;;;6
29;3;;1;;1;;;;;1;1;;;1;;;;;;;;;;;;;;8
30;2;;1;;;;;;;1;;;;1;;;;;;;;;1;;;;;6
31;;;;;;;;;;1;;;;;;;;;12;;;;1;;;;;14
32;1;;1;;;;2;;;13;2;;1;;;2;;;1;;;5;;;;;;28
33;;1;;;;;;;;19;;;2;;;1;;;;;;;1;;;;;24
34;;1;;;;;;;;2;;;;;;;;;1;;;;1;;;;;5
35;1;;1;;;;;;;21;;;2;;;;;;2;;;3;;;;;;30
36;;;;;;;;;;27;;;;;;;;;;;;1;;;;;;28
37;2;1;;;;;1;;;4;;;;;;1;;;;;;;;;;;;6
38;;;;;;;;;;3;;;2;;;;;;3;1;;;;;;;;9
39;;;;;;;;2;;1;;;3;1;;;;;1;;;1;;;;;;9
40;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;3
41;1;;;;;;;;;6;;;1;;;2;;;;;;2;;;;;;12
42;;;4;;;;;;;3;1;;1;1;;;1;;1;;;;;;;;;12
43;;;;;;;;1;;18;;;2;1;;;;;;;;;;;;;;22
44;;;3;;;;;;;7;;;;;;2;;1;;1;;;1;;;;;15
45;;;1;;;;;;;3;;;;;;;;;;;;;;;;;;4
46;;;;1;;;;;;15;;;;;;;;;;;;;;;;;;16
47;;;1;;;;;;;7;1;;;;;;;;3;;;;;1;;;;13
48;;1;;;;;11;;;7;;;2;;;;;;6;;;;;;;;;27
49;1;;;;;;;;;9;;;;;;;;;1;;;2;;;;;;13
50;;;;;;;;;;6;1;;;1;;;;;;;;;;;;;;8
51;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;4
52;;1;;;;;;;;;;;;;;;;;;;;;3;;;;;4
;69;117;90;29;20;9;22;18;8;290;127;41;127;57;11;23;6;1;192;24;10;83;82;39;19;4;1;1516
;;;;;;;;;;;;;;;;;;;;;;;;;;;average;29.15
;;;;;;;;;;;;;;;;;;;;;;;;;;;standard deviation;84.09
;;;;;;;;;;;;;;;;;;;;;;;;;;;weighted average;244.04
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
