;Mistranslation 1;Mistranslation 10;Mistranslation 100;Addition/Omission 1;Addition/Omission 10;Addition/Omission 100;Untranslated/DNT 1;Untranslated/DNT 10;Untranslated/DNT 100;Grammar/Syntax 1;Grammar/Syntax 10;Grammar/Syntax 100;Register 1;Register 10;Register 100;Incostistency 1;ncostistency 10;ncostistency 100;Spelling 1;Spelling 10;Spelling 100;Terminology 1;Terminology 10;Terminology 100;Other  1;Other 10;Other 100;Sum
1;;1;1;;;;;;;;;1;;1;;;;;1;;;;;;;;;5
2;1;3;8;1;1;3;;;3;10;6;6;6;3;1;;;;1;1;1;3;3;3;2;;;66
3;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;2
4;;8;1;;;;;;2;;1;3;1;;;1;2;;1;3;;2;5;6;;;;36
5;;5;;;;;;;;1;1;;1;1;;;;;1;;;;2;3;;;;15
6;;1;1;;1;;;;;;1;;1;;;;;;3;;;1;1;3;;;;13
7;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;3
8;;;5;;;;;1;;;;;;;;;;1;;;;2;1;3;;;;13
9;;1;2;;;;;;;;1;;1;;;;;1;;;;1;2;5;;;;14
10;;;2;;;;;2;;;;;;;;;;2;;;;;1;;;;;7
11;1;4;;;;;;;;1;2;;1;;;;;;;;;3;;;;;;12
12;2;2;;;1;;;;;2;2;;3;;;;;1;;;;;;;;;;13
13;1;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;4
14;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
15;21;51;41;20;18;33;3;6;3;37;24;7;32;15;0;2;1;1;75;10;2;17;23;9;5;2;2;460
16;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2
17;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
18;;1;;;;;1;;;;;;1;;;2;;;;1;;1;;;;;;7
19;;;;;;;;;;3;;;;;;;;;3;;;;;;;;;6
20;;;;;;;;;;;;;;;;;;;4;;;;2;1;;;;7
21;;;;;;;;1;;1;;;1;1;;;1;;6;;;11;1;1;;;;24
22;22;16;8;3;16;3;6;8;0;27;28;4;28;22;0;1;0;0;27;3;0;14;10;1;3;1;0;251
23;;;;;;;1;;;1;;;1;;;;;;;;;8;1;;;;;12
24;;1;;;;;;;;;;;3;;;;;;;;;2;1;;;;;7
25;2;;;;;1;;;;;;;;;;;;;1;;;4;;;;;;8
26;4;2;1;;;;;;;;;;1;1;;;;;;;1;1;;;;;;11
27;;6;11;;1;4;;8;1;14;22;5;7;12;1;;;;4;1;;2;5;2;3;;;109
28;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;3
29;3;;;;2;;;;;1;;;;1;;;;;;;;;;;;;;7
30;2;;1;;;;;;;2;1;;;2;;;;;1;;;;2;;;;;11
31;;;;;;;;;;1;;;;;;;;;12;;1;;;;;;;14
32;2;1;1;;;;;2;;9;2;;3;;;1;;;1;;;1;1;;;;;24
33;;2;;2;;;;;;13;;;2;;;1;;;1;;;1;;;;;;22
34;;1;;;;1;;;;1;;;1;;;1;;;1;;;;1;;;;;7
35;2;;1;;1;12;;;;16;;;4;;;;;;;;;3;;;;;;39
36;;;;;;;;;;15;;;;;;1;;;;;;3;2;;;;;21
37;3;2;1;;;;;;;1;;;2;1;;;;;;;;;;;;;;10
38;;;;;;;;;;1;;;1;;;;;;1;;;;;;;;;3
39;;;;;;;;1;1;;;;2;2;;;;;1;;;1;;;;;;8
40;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
41;2;;;;;;;;;9;;;2;;;;;;2;;;3;;;;;;18
42;;;;;;;1;;;4;2;;3;;;1;;;;;;1;1;;;;;13
43;2;;;;;;;7;1;20;1;;1;2;1;1;1;1;2;1;;;;;;;;41
44;;;6;;;1;3;;;14;;;2;;;;1;4;1;;;;1;1;;;;34
45;2;;1;1;1;;;;;6;;;;;;;;;;;;;;;;;;11
46;;1;;1;;;;1;;17;1;;;;;;;;;;;;;;;;;21
47;;1;1;;;;;;;6;;;4;;;;;;1;;;1;;;;;;14
48;;1;;;;;4;;;9;;;;;;;1;;5;;;;;;;;;20
49;;;;;;;;;;4;;;;;;;;;1;;;4;;;;;;9
50;;;;;;;;;;4;1;;;;;;;;1;;;;;;;;;6
51;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;2
52;1;;;;;;;;;;;;;;;;;;;;;3;2;;;;;6
;73;112;95;28;42;58;19;37;12;251;96;27;116;64;3;13;8;11;160;20;5;96;70;40;13;3;2;1474
;;;;;;;;;;;;;;;;;;;;;;;;;;;average;28.36
;;;;;;;;;;;;;;;;;;;;;;;;;;;standard deviation;71.52
;;;;;;;;;;;;;;;;;;;;;;;;;;;weighted average;275.57
