Text;"Text
length";readability (Fog Index/Flesch-Kincaid index);DL AVG error (MQM Errors);GT AVG error (MQM Errors);SY AVG error (MQM Errors);;;
1;260;15.2;10;7;5;;;
2;497;16.25;56;68;66;;;
3;133;34.65;1;6;2;;;
4;2093;11.45;18;30;36;;;
5;933;14.85;10;7;15;;;
6;539;16.65;6;6;13;;;
7;327;15.55;1;3;3;;;
8;665;18.8;13;6;13;;;
9;1253;17.25;8;11;14;;;
10;469;13;2;5;7;;;
11;900;11.6;4;7;12;;;
12;814;12.3;1;6;13;;;
13;519;14.7;0;2;4;;;
14;137;16.65;1;3;1;;;
15;409;21.9;379;531;460;;;
16;277;16.5;0;2;2;;;
17;250;21.35;3;1;1;;;
18;710;12.7;4;5;7;;;
19;204;15.55;5;2;6;;;
20;686;20.35;3;10;7;;;
21;705;11.75;20;28;24;;;
22;281;26.75;255;318;251;;;
23;271;16.2;9;18;12;;;
24;1085;20.8;6;7;7;;;
25;321;23.15;5;4;8;;;
26;318;11.35;4;5;11;;;
27;323;15.45;71;92;109;;;
28;324;12.95;0;6;3;;;
29;558;20.9;6;8;7;;;
30;578;10.3;5;6;11;;;
31;752;15.75;2;14;14;;;
32;592;10.85;14;28;24;;;
33;466;10.95;9;24;22;;;
34;287;10.35;3;5;7;;;
35;749;12.1;17;30;39;;;
36;444;12.4;6;28;21;;;
37;550;12.75;6;6;10;;;
38;613;10.45;2;9;3;;;
39;645;13.2;7;9;8;;;
40;190;16.7;1;3;1;;;
41;722;11.6;23;12;18;;;
42;648;9.55;2;12;13;;;
43;1201;12.8;11;22;41;;;
44;977;11.45;0;15;34;;;
45;611;10.4;1;4;11;;;
46;498;11.9;1;16;21;;;
47;818;8.9;2;13;14;;;
48;671;10.2;16;27;20;;;
49;465;9.15;2;13;9;;;
50;924;8.95;4;8;6;;;
51;603;10.15;2;4;2;;;
52;1128;15.9;2;4;6;;;
AVG;603.71;14.68;19.98;29.15;28.35;;;
