;Mistranslation 1;Mistranslation 10;Mistranslation 100;Addition/Omission 1;Addition/Omission 10;Addition/Omission 100;Untranslated/DNT 1;Untranslated/DNT 10;Untranslated/DNT 100;Grammar/Syntax 1;Grammar/Syntax 10;Grammar/Syntax 100;Register 1;Register 10;Register 100;Incostistency 1;ncostistency 10;ncostistency 100;Spelling 1;Spelling 10;Spelling 100;Terminology 1;Terminology 10;Terminology 100;Other  1;Other 10;Other 100;Sum
1;2;2;;;;;;;;;2;;1;;;;;;1;2;;;;;;;;10
2;;1;1;1;8;1;;1;3;12;3;3;5;4;;;;;1;1;2;1;2;2;3;1;;56
3;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
4;;3;1;;;;;;1;1;5;;;;;;;;;;;1;4;2;;;;18
5;;4;;;;;;;;;2;;;1;;;;;;;;;2;1;;;;10
6;;2;1;;;;;;;;;;1;;;;1;;;;;;;1;;;;6
7;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
8;;;1;;;;1;8;;1;;;;;;;;;;;;1;1;;;;;13
9;;;1;;2;;;;;3;;;;;;;;;;;;1;1;;;;;8
10;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;2
11;;1;;;;1;;;;;;;;;;;;;;;;2;;;;;;4
12;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
13;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
15;19;44;27;13;19;17;4;10;2;18;12;2;42;9;0;4;1;0;64;5;2;15;23;10;10;1;6;379
16;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
17;;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;3
18;1;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;4
19;2;;;;;;;;;;;;;;;;;;3;;;;;;;;;5
20;;;;;1;;;;;;;;;;;;;;;;;;2;;;;;3
21;;;;;;;;;;2;;;;1;;1;;;3;;;12;1;;;;;20
22;21;19;6;11;3;3;1;7;3;27;19;3;40;19;0;1;1;0;38;2;0;9;7;8;7;0;0;255
23;;;;;;;1;;;1;;;;;;;;;;;;6;1;;;;;9
24;;1;;;;;1;;;;;;;;;;;;2;;;1;1;;;;;6
25;;;;;;;;;;;;;;;;;;;1;;;4;;;;;;5
26;2;;;;;;;;;;;;;1;;;;;;;1;;;;;;;4
27;;;9;;1;3;;1;;1;13;3;4;9;;;;;2;1;6;2;7;2;4;3;;71
28;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
29;2;;;;1;;;;;;;;;;;;;;;;;2;1;;;;;6
30;2;;1;;;;;;;;;;;2;;;;;;;;;;;;;;5
31;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;2
32;1;;1;;;;2;;;7;1;;;;;;;;;;;2;;;;;;14
33;;;;;;;;;;5;;;1;;;1;;;;;;;1;1;;;;9
34;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;3
35;1;;;;;;;;;6;;;4;;;1;;;1;;;4;;;;;;17
36;;;;;1;;1;;;3;;;;;;;;;;;;1;;;;;;6
37;;;;;;;;;;2;;;2;;;;1;;1;;;;;;;;;6
38;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;2
39;;;;;1;;;;;1;;;1;3;;;;;;;;1;;;;;;7
40;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
41;;;;;;21;;;;1;;;;;;;;;;;;1;;;;;;23
42;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;2
43;;;;;;;;8;;2;;;;;;;1;;;;;;;;;;;11
44;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
45;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
46;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
47;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;2
48;;;;;;;13;;;;;;;;;;;;3;;;;;;;;;16
49;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;2
50;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;4
51;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;2
52;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
;53;82;49;26;37;46;25;35;9;98;57;11;111;50;0;9;5;0;125;12;11;68;58;27;24;5;6;1039
;;;;;;;;;;;;;;;;;;;;;;;;;;;average;19.98
;;;;;;;;;;;;;;;;;;;;;;;;;;;standard deviation;62.50
;;;;;;;;;;;;;;;;;;;;;;;;;;;weighted average;173.41
