Text;"Text
length";readability (Fog Index/Flesch-Kincaid index);DL AVG error (MQM Errors);GT AVG error (MQM Errors);SY AVG error (MQM Errors);"AVG error DL 
(Bert score)";"AVG error GT 
(Bert score)";"AVG error SY 
(Bert score)"
1;260;15.2;10;7;5;0.913201;0.924469;0.917234
2;497;16.25;56;68;66;0.93262;0.932128;0.934953
3;133;34.65;1;6;2;0.899429;0.909744;0.883786
4;2093;11.45;18;30;36;0.899029;0.895959;0.894788
5;933;14.85;10;7;15;0.935064;0.921751;0.920334
6;539;16.65;6;6;13;0.925068;0.912643;0.912369
7;327;15.55;1;3;3;0.93314;0.928278;0.925507
8;665;18.8;13;6;13;0.892803;0.891384;0.881067
9;1253;17.25;8;11;14;0.90534;0.910912;0.892662
10;469;13;2;5;7;0.923809;0.926813;0.908242
11;900;11.6;4;7;12;0.887114;0.890833;0.887177
12;814;12.3;1;6;13;0.891671;0.888997;0.874018
13;519;14.7;0;2;4;0.91036;0.911347;0.908005
14;137;16.65;1;3;1;0.933727;0.932085;0.932838
15;409;21.9;379;531;460;0.910081;0.898055;0.899865
16;277;16.5;0;2;2;0.935215;0.933136;0.936107
17;250;21.35;3;1;1;0.921443;0.918346;0.915506
18;710;12.7;4;5;7;0.906192;0.901743;0.897217
19;204;15.55;5;2;6;0.908793;0.916019;0.914683
20;686;20.35;3;10;7;0.908866;0.900027;0.912997
21;705;11.75;20;28;24;0.886576;0.888054;0.881787
22;281;26.75;255;318;251;0.92773;0.91787;0.935022
23;271;16.2;9;18;12;0.897391;0.875151;0.874544
24;1085;20.8;6;7;7;0.921496;0.915808;0.91217
25;321;23.15;5;4;8;0.899636;0.899563;0.896625
26;318;11.35;4;5;11;0.916829;0.921163;0.902321
27;323;15.45;71;92;109;0.937488;0.923904;0.921568
28;324;12.95;0;6;3;0.924415;0.917984;0.91267
29;558;20.9;6;8;7;0.907411;0.90571;0.903385
30;578;10.3;5;6;11;0.880879;0.89883;0.894688
31;752;15.75;2;14;14;0.925444;0.928195;0.918652
32;592;10.85;14;28;24;0.91645;0.908826;0.916988
33;466;10.95;9;24;22;0.88961;0.89648;0.90773
34;287;10.35;3;5;7;0.881772;0.878799;0.885378
35;749;12.1;17;30;39;0.894051;0.895304;0.890105
36;444;12.4;6;28;21;0.898364;0.893408;0.89367
37;550;12.75;6;6;10;0.900885;0.910282;0.906452
38;613;10.45;2;9;3;0.894781;0.89726;0.889608
39;645;13.2;7;9;8;0.899617;0.909396;0.899099
40;190;16.7;1;3;1;0.879312;0.875328;0.887806
41;722;11.6;23;12;18;0.921699;0.928654;0.922149
42;648;9.55;2;12;13;0.907887;0.922254;0.918473
43;1201;12.8;11;22;41;0.902496;0.915157;0.911595
44;977;11.45;0;15;34;0.903147;0.906092;0.898369
45;611;10.4;1;4;11;0.886818;0.913027;0.912032
46;498;11.9;1;16;21;0.943842;0.93884;0.932996
47;818;8.9;2;13;14;0.943822;0.943019;0.928593
48;671;10.2;16;27;20;0.911678;0.922519;0.911594
49;465;9.15;2;13;9;0.941025;0.938756;0.932126
50;924;8.95;4;8;6;0.913201;0.924469;0.917234
51;603;10.15;2;4;2;0.928213;0.939322;0.926358
52;1128;15.9;2;4;6;0.897209;0.908492;0.907289
AVG;603.71;14.68;19.98;29.15;28.35;0.9106565; 0.9115882;0.9076621
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
